销售日期,品类,qty,星期
2020-09-14,水生根茎类,17.361,0
2020-09-15,水生根茎类,19.219,1
2020-09-16,水生根茎类,18.818,2
2020-09-17,水生根茎类,17.437,3
2020-09-18,水生根茎类,11.389,4
2020-09-19,水生根茎类,39.431,5
2020-09-20,水生根茎类,39.551,6
2020-09-21,水生根茎类,16.289,0
2020-09-22,水生根茎类,37.808,1
2020-09-23,水生根茎类,18.629,2
2020-09-24,水生根茎类,51.886,3
2020-09-25,水生根茎类,22.732,4
2020-09-26,水生根茎类,65.744,5
2020-09-27,水生根茎类,28.289,6
2020-09-28,水生根茎类,11.860999999999999,0
2020-09-29,水生根茎类,24.135,1
2020-09-30,水生根茎类,36.839,2
2020-10-01,水生根茎类,55.356,3
2020-10-02,水生根茎类,21.931,4
2020-10-03,水生根茎类,18.497,5
2020-10-04,水生根茎类,19.253999999999998,6
2020-10-05,水生根茎类,79.752,0
2020-10-06,水生根茎类,25.784,1
2020-10-07,水生根茎类,52.907,2
2020-10-08,水生根茎类,31.952,3
2020-10-09,水生根茎类,51.476,4
2020-10-10,水生根茎类,22.07,5
2020-10-11,水生根茎类,57.223,6
2020-10-12,水生根茎类,38.333,0
2020-10-13,水生根茎类,50.519,1
2020-10-14,水生根茎类,46.207,2
2020-10-15,水生根茎类,42.162,3
2020-10-16,水生根茎类,58.973,4
2020-10-17,水生根茎类,87.12,5
2020-10-18,水生根茎类,79.338,6
2020-10-19,水生根茎类,40.6,0
2020-10-20,水生根茎类,49.434,1
2020-10-21,水生根茎类,21.201,2
2020-10-22,水生根茎类,35.917,3
2020-10-23,水生根茎类,30.801,4
2020-10-24,水生根茎类,67.932,5
2020-10-25,水生根茎类,71.16,6
2020-10-26,水生根茎类,20.666,0
2020-10-27,水生根茎类,21.273,1
2020-10-28,水生根茎类,32.418,2
2020-10-29,水生根茎类,15.828,3
2020-10-30,水生根茎类,18.769000000000002,4
2020-10-31,水生根茎类,79.265,5
2020-11-01,水生根茎类,71.332,6
2020-11-02,水生根茎类,15.053,0
2020-11-03,水生根茎类,15.727,1
2020-11-04,水生根茎类,18.183,2
2020-11-05,水生根茎类,8.347,3
2020-11-06,水生根茎类,13.443,4
2020-11-07,水生根茎类,71.413,5
2020-11-08,水生根茎类,58.207,6
2020-11-09,水生根茎类,14.579,0
2020-11-10,水生根茎类,12.103,1
2020-11-11,水生根茎类,17.155,2
2020-11-12,水生根茎类,15.237,3
2020-11-13,水生根茎类,13.766,4
2020-11-14,水生根茎类,58.127,5
2020-11-15,水生根茎类,45.353,6
2020-11-16,水生根茎类,14.450000000000001,0
2020-11-17,水生根茎类,24.762,1
2020-11-18,水生根茎类,19.171,2
2020-11-19,水生根茎类,22.977,3
2020-11-20,水生根茎类,22.48,4
2020-11-21,水生根茎类,95.375,5
2020-11-22,水生根茎类,67.538,6
2020-11-23,水生根茎类,34.987,0
2020-11-24,水生根茎类,44.692,1
2020-11-25,水生根茎类,38.697,2
2020-11-26,水生根茎类,24.099,3
2020-11-27,水生根茎类,23.178,4
2020-11-28,水生根茎类,30.289,5
2020-11-29,水生根茎类,31.494,6
2020-11-30,水生根茎类,18.480999999999998,0
2020-12-01,水生根茎类,25.029,1
2020-12-02,水生根茎类,22.979,2
2020-12-03,水生根茎类,35.348,3
2020-12-04,水生根茎类,87.25,4
2020-12-05,水生根茎类,43.518,5
2020-12-06,水生根茎类,93.761,6
2020-12-07,水生根茎类,60.127,0
2020-12-08,水生根茎类,78.345,1
2020-12-09,水生根茎类,39.897,2
2020-12-10,水生根茎类,48.448,3
2020-12-11,水生根茎类,55.358,4
2020-12-12,水生根茎类,71.47,5
2020-12-13,水生根茎类,73.578,6
2020-12-14,水生根茎类,65.517,0
2020-12-15,水生根茎类,51.18,1
2020-12-16,水生根茎类,47.282,2
2020-12-17,水生根茎类,47.929,3
2020-12-18,水生根茎类,63.362,4
2020-12-19,水生根茎类,85.825,5
2020-12-20,水生根茎类,77.313,6
2020-12-21,水生根茎类,48.468,0
2020-12-22,水生根茎类,38.698,1
2020-12-23,水生根茎类,43.83,2
2020-12-24,水生根茎类,61.288,3
2020-12-25,水生根茎类,65.984,4
2020-12-26,水生根茎类,103.905,5
2020-12-27,水生根茎类,93.232,6
2020-12-28,水生根茎类,63.262,0
2020-12-29,水生根茎类,54.924,1
2020-12-30,水生根茎类,75.742,2
2020-12-31,水生根茎类,73.305,3
2021-01-01,水生根茎类,91.569,4
2021-01-02,水生根茎类,102.214,5
2021-01-03,水生根茎类,76.505,6
2021-01-04,水生根茎类,68.248,0
2021-01-05,水生根茎类,89.144,1
2021-01-06,水生根茎类,49.852,2
2021-01-07,水生根茎类,54.723,3
2021-01-08,水生根茎类,53.903999999999996,4
2021-01-09,水生根茎类,90.49,5
2021-01-10,水生根茎类,79.563,6
2021-01-11,水生根茎类,47.911,0
2021-01-12,水生根茎类,55.595,1
2021-01-13,水生根茎类,40.616,2
2021-01-14,水生根茎类,43.51,3
2021-01-15,水生根茎类,51.428,4
2021-01-16,水生根茎类,82.624,5
2021-01-17,水生根茎类,67.482,6
2021-01-18,水生根茎类,48.095,0
2021-01-19,水生根茎类,42.265,1
2021-01-20,水生根茎类,44.546,2
2021-01-21,水生根茎类,48.089,3
2021-01-22,水生根茎类,48.728,4
2021-01-23,水生根茎类,66.893,5
2021-01-24,水生根茎类,88.664,6
2021-01-25,水生根茎类,86.892,0
2021-01-26,水生根茎类,59.222,1
2021-01-27,水生根茎类,50.075,2
2021-01-28,水生根茎类,58.18,3
2021-01-29,水生根茎类,48.372,4
2021-01-30,水生根茎类,39.938,5
2021-01-31,水生根茎类,47.573,6
2021-02-01,水生根茎类,50.34,0
2021-02-02,水生根茎类,47.323,1
2021-02-03,水生根茎类,36.091,2
2021-02-04,水生根茎类,61.4,3
2021-02-05,水生根茎类,56.39,4
2021-02-06,水生根茎类,55.472,5
2021-02-07,水生根茎类,101.527,6
2021-02-08,水生根茎类,124.55,0
2021-02-09,水生根茎类,211.431,1
2021-02-10,水生根茎类,296.79200000000003,2
2021-02-13,水生根茎类,50.0,5
2021-02-14,水生根茎类,65.073,6
2021-02-15,水生根茎类,68.394,0
2021-02-16,水生根茎类,67.819,1
2021-02-17,水生根茎类,53.632,2
2021-02-18,水生根茎类,62.327,3
2021-02-19,水生根茎类,73.044,4
2021-02-20,水生根茎类,60.612,5
2021-02-21,水生根茎类,38.554,6
2021-02-22,水生根茎类,40.444,0
2021-02-23,水生根茎类,44.084,1
2021-02-24,水生根茎类,54.382,2
2021-02-25,水生根茎类,74.027,3
2021-02-26,水生根茎类,72.508,4
2021-02-27,水生根茎类,45.651,5
2021-02-28,水生根茎类,49.705,6
2021-03-01,水生根茎类,29.048,0
2021-03-02,水生根茎类,46.406,1
2021-03-03,水生根茎类,20.757,2
2021-03-04,水生根茎类,28.177,3
2021-03-05,水生根茎类,35.138,4
2021-03-06,水生根茎类,61.735,5
2021-03-07,水生根茎类,36.889,6
2021-03-08,水生根茎类,26.921,0
2021-03-09,水生根茎类,42.608,1
2021-03-10,水生根茎类,24.891000000000002,2
2021-03-11,水生根茎类,31.801,3
2021-03-12,水生根茎类,21.764,4
2021-03-13,水生根茎类,47.086,5
2021-03-14,水生根茎类,30.295,6
2021-03-15,水生根茎类,22.597,0
2021-03-16,水生根茎类,19.772,1
2021-03-17,水生根茎类,19.493,2
2021-03-18,水生根茎类,20.852,3
2021-03-19,水生根茎类,39.292,4
2021-03-20,水生根茎类,39.984,5
2021-03-21,水生根茎类,41.705,6
2021-03-22,水生根茎类,10.113,0
2021-03-23,水生根茎类,13.349,1
2021-03-24,水生根茎类,14.013,2
2021-03-25,水生根茎类,15.827,3
2021-03-26,水生根茎类,40.178,4
2021-03-27,水生根茎类,43.191,5
2021-03-28,水生根茎类,30.71,6
2021-03-29,水生根茎类,15.5,0
2021-03-30,水生根茎类,14.905,1
2021-03-31,水生根茎类,19.503,2
2021-04-01,水生根茎类,20.743,3
2021-04-02,水生根茎类,37.764,4
2021-04-03,水生根茎类,38.786,5
2021-04-04,水生根茎类,33.95,6
2021-04-05,水生根茎类,24.241,0
2021-04-06,水生根茎类,3.622,1
2021-04-07,水生根茎类,17.735,2
2021-04-08,水生根茎类,9.582,3
2021-04-09,水生根茎类,29.704,4
2021-04-10,水生根茎类,22.753,5
2021-04-11,水生根茎类,22.196,6
2021-04-12,水生根茎类,4.178,0
2021-04-13,水生根茎类,5.553,1
2021-04-14,水生根茎类,19.197,2
2021-04-15,水生根茎类,17.098,3
2021-04-16,水生根茎类,19.018,4
2021-04-17,水生根茎类,35.302,5
2021-04-18,水生根茎类,22.237,6
2021-04-19,水生根茎类,12.658,0
2021-04-20,水生根茎类,12.167,1
2021-04-21,水生根茎类,13.078,2
2021-04-22,水生根茎类,11.64,3
2021-04-23,水生根茎类,10.413,4
2021-04-24,水生根茎类,17.178,5
2021-04-25,水生根茎类,11.454,6
2021-04-26,水生根茎类,11.871,0
2021-04-27,水生根茎类,9.127,1
2021-04-28,水生根茎类,7.359,2
2021-04-29,水生根茎类,8.818,3
2021-04-30,水生根茎类,14.856,4
2021-05-01,水生根茎类,18.075,5
2021-05-02,水生根茎类,17.439,6
2021-05-03,水生根茎类,18.743000000000002,0
2021-05-04,水生根茎类,8.799,1
2021-05-05,水生根茎类,15.352,2
2021-05-06,水生根茎类,5.992,3
2021-05-07,水生根茎类,6.436,4
2021-05-08,水生根茎类,11.457,5
2021-05-09,水生根茎类,21.145,6
2021-05-10,水生根茎类,8.06,0
2021-05-11,水生根茎类,8.963000000000001,1
2021-05-12,水生根茎类,6.081,2
2021-05-13,水生根茎类,14.949,3
2021-05-14,水生根茎类,11.411999999999999,4
2021-05-15,水生根茎类,12.399000000000001,5
2021-05-16,水生根茎类,6.386,6
2021-05-17,水生根茎类,5.011,0
2021-05-18,水生根茎类,12.309000000000001,1
2021-05-19,水生根茎类,12.199,2
2021-05-20,水生根茎类,8.975,3
2021-05-21,水生根茎类,4.178,4
2021-05-22,水生根茎类,9.18,5
2021-05-23,水生根茎类,17.229,6
2021-05-24,水生根茎类,4.28,0
2021-05-25,水生根茎类,5.412,1
2021-05-26,水生根茎类,4.008,2
2021-05-27,水生根茎类,8.319,3
2021-05-28,水生根茎类,6.205,4
2021-05-29,水生根茎类,9.57,5
2021-05-30,水生根茎类,4.719,6
2021-05-31,水生根茎类,5.404,0
2021-06-01,水生根茎类,7.217,1
2021-06-02,水生根茎类,8.681,2
2021-06-03,水生根茎类,11.019,3
2021-06-04,水生根茎类,13.461,4
2021-06-05,水生根茎类,19.495,5
2021-06-06,水生根茎类,7.182,6
2021-06-07,水生根茎类,8.757,0
2021-06-08,水生根茎类,7.394,1
2021-06-09,水生根茎类,7.943,2
2021-06-10,水生根茎类,10.34,3
2021-06-11,水生根茎类,6.744,4
2021-06-12,水生根茎类,22.347,5
2021-06-13,水生根茎类,11.431000000000001,6
2021-06-14,水生根茎类,14.049,0
2021-06-15,水生根茎类,9.998,1
2021-06-16,水生根茎类,5.187,2
2021-06-17,水生根茎类,9.409,3
2021-06-18,水生根茎类,7.902,4
2021-06-19,水生根茎类,10.313,5
2021-06-20,水生根茎类,10.001,6
2021-06-21,水生根茎类,9.9,0
2021-06-22,水生根茎类,13.91,1
2021-06-23,水生根茎类,10.931000000000001,2
2021-06-24,水生根茎类,6.119,3
2021-06-25,水生根茎类,10.916,4
2021-06-26,水生根茎类,20.953,5
2021-06-27,水生根茎类,19.982,6
2021-06-28,水生根茎类,9.933,0
2021-06-29,水生根茎类,9.52,1
2021-06-30,水生根茎类,7.464,2
2021-07-01,水生根茎类,8.512,3
2021-07-02,水生根茎类,10.79,4
2021-07-03,水生根茎类,29.657,5
2021-07-04,水生根茎类,24.214,6
2021-07-05,水生根茎类,14.947,0
2021-07-06,水生根茎类,7.861,1
2021-07-07,水生根茎类,8.404,2
2021-07-08,水生根茎类,12.209,3
2021-07-09,水生根茎类,4.507,4
2021-07-10,水生根茎类,14.838,5
2021-07-11,水生根茎类,14.099,6
2021-07-12,水生根茎类,7.559,0
2021-07-13,水生根茎类,7.123,1
2021-07-14,水生根茎类,14.182,2
2021-07-15,水生根茎类,5.78,3
2021-07-16,水生根茎类,23.636,4
2021-07-17,水生根茎类,27.115,5
2021-07-18,水生根茎类,30.137999999999998,6
2021-07-19,水生根茎类,15.754,0
2021-07-20,水生根茎类,12.512,1
2021-07-21,水生根茎类,18.057,2
2021-07-22,水生根茎类,17.843,3
2021-07-23,水生根茎类,13.844,4
2021-07-24,水生根茎类,32.222,5
2021-07-25,水生根茎类,24.134,6
2021-07-26,水生根茎类,16.444,0
2021-07-27,水生根茎类,33.891,1
2021-07-28,水生根茎类,32.418,2
2021-07-29,水生根茎类,17.107,3
2021-07-30,水生根茎类,20.72,4
2021-07-31,水生根茎类,23.282,5
2021-08-01,水生根茎类,36.228,6
2021-08-02,水生根茎类,22.943,0
2021-08-03,水生根茎类,27.549,1
2021-08-04,水生根茎类,22.617,2
2021-08-05,水生根茎类,14.856,3
2021-08-06,水生根茎类,22.376,4
2021-08-07,水生根茎类,28.627,5
2021-08-08,水生根茎类,24.273,6
2021-08-09,水生根茎类,19.711000000000002,0
2021-08-10,水生根茎类,24.532,1
2021-08-11,水生根茎类,20.738,2
2021-08-12,水生根茎类,28.536,3
2021-08-13,水生根茎类,37.722,4
2021-08-14,水生根茎类,27.112000000000002,5
2021-08-15,水生根茎类,49.471000000000004,6
2021-08-16,水生根茎类,50.533,0
2021-08-17,水生根茎类,56.145,1
2021-08-18,水生根茎类,54.55,2
2021-08-19,水生根茎类,28.569,3
2021-08-20,水生根茎类,27.29,4
2021-08-21,水生根茎类,37.692,5
2021-08-22,水生根茎类,51.313,6
2021-08-23,水生根茎类,38.788000000000004,0
2021-08-24,水生根茎类,31.616,1
2021-08-25,水生根茎类,35.363,2
2021-08-26,水生根茎类,63.126,3
2021-08-27,水生根茎类,56.396,4
2021-08-28,水生根茎类,49.574,5
2021-08-29,水生根茎类,55.375,6
2021-08-30,水生根茎类,40.953,0
2021-08-31,水生根茎类,31.335,1
2021-09-01,水生根茎类,47.449,2
2021-09-02,水生根茎类,45.638,3
2021-09-03,水生根茎类,54.834,4
2021-09-04,水生根茎类,66.409,5
2021-09-05,水生根茎类,58.946,6
2021-09-06,水生根茎类,33.471,0
2021-09-07,水生根茎类,34.142,1
2021-09-08,水生根茎类,38.571,2
2021-09-09,水生根茎类,39.028,3
2021-09-10,水生根茎类,43.851,4
2021-09-11,水生根茎类,67.532,5
2021-09-12,水生根茎类,57.208,6
2021-09-13,水生根茎类,29.937,0
2021-09-14,水生根茎类,41.431,1
2021-09-15,水生根茎类,32.841,2
2021-09-16,水生根茎类,35.964999999999996,3
2021-09-17,水生根茎类,31.276,4
2021-09-18,水生根茎类,34.827,5
2021-09-19,水生根茎类,93.77,6
2021-09-20,水生根茎类,94.882,0
2021-09-21,水生根茎类,93.256,1
2021-09-22,水生根茎类,29.818,2
2021-09-23,水生根茎类,19.216,3
2021-09-24,水生根茎类,32.314,4
2021-09-25,水生根茎类,43.444,5
2021-09-26,水生根茎类,48.23,6
2021-09-27,水生根茎类,42.395,0
2021-09-28,水生根茎类,33.697,1
2021-09-29,水生根茎类,39.563,2
2021-09-30,水生根茎类,38.451,3
2021-10-01,水生根茎类,69.809,4
2021-10-02,水生根茎类,61.246,5
2021-10-03,水生根茎类,51.096,6
2021-10-04,水生根茎类,39.501,0
2021-10-05,水生根茎类,53.813,1
2021-10-06,水生根茎类,50.349000000000004,2
2021-10-07,水生根茎类,51.57,3
2021-10-08,水生根茎类,49.695,4
2021-10-09,水生根茎类,41.198,5
2021-10-10,水生根茎类,58.704,6
2021-10-11,水生根茎类,45.351,0
2021-10-12,水生根茎类,29.953,1
2021-10-13,水生根茎类,36.526,2
2021-10-14,水生根茎类,38.264,3
2021-10-15,水生根茎类,65.659,4
2021-10-16,水生根茎类,54.821,5
2021-10-17,水生根茎类,56.02,6
2021-10-18,水生根茎类,44.513,0
2021-10-19,水生根茎类,42.738,1
2021-10-20,水生根茎类,41.248,2
2021-10-21,水生根茎类,46.91,3
2021-10-22,水生根茎类,45.315,4
2021-10-23,水生根茎类,61.274,5
2021-10-24,水生根茎类,47.917,6
2021-10-25,水生根茎类,33.696,0
2021-10-26,水生根茎类,37.216,1
2021-10-27,水生根茎类,36.161,2
2021-10-28,水生根茎类,37.949,3
2021-10-29,水生根茎类,40.045,4
2021-10-30,水生根茎类,59.756,5
2021-10-31,水生根茎类,55.961,6
2021-11-01,水生根茎类,44.316,0
2021-11-02,水生根茎类,39.893,1
2021-11-03,水生根茎类,39.941,2
2021-11-04,水生根茎类,42.366,3
2021-11-05,水生根茎类,58.696,4
2021-11-06,水生根茎类,63.927,5
2021-11-07,水生根茎类,64.622,6
2021-11-08,水生根茎类,58.811,0
2021-11-09,水生根茎类,43.617000000000004,1
2021-11-10,水生根茎类,49.851,2
2021-11-11,水生根茎类,35.903,3
2021-11-12,水生根茎类,50.696,4
2021-11-13,水生根茎类,55.708,5
2021-11-14,水生根茎类,53.001,6
2021-11-15,水生根茎类,28.879,0
2021-11-16,水生根茎类,19.63,1
2021-11-17,水生根茎类,34.26,2
2021-11-18,水生根茎类,21.426,3
2021-11-19,水生根茎类,28.706,4
2021-11-20,水生根茎类,54.147,5
2021-11-21,水生根茎类,47.591,6
2021-11-22,水生根茎类,32.75,0
2021-11-23,水生根茎类,31.403,1
2021-11-24,水生根茎类,33.315,2
2021-11-25,水生根茎类,30.299,3
2021-11-26,水生根茎类,41.234,4
2021-11-27,水生根茎类,58.68,5
2021-11-28,水生根茎类,49.546,6
2021-11-29,水生根茎类,29.92,0
2021-11-30,水生根茎类,30.369,1
2021-12-01,水生根茎类,30.015,2
2021-12-02,水生根茎类,25.404,3
2021-12-03,水生根茎类,18.925,4
2021-12-04,水生根茎类,62.259,5
2021-12-05,水生根茎类,50.994,6
2021-12-06,水生根茎类,12.844,0
2021-12-07,水生根茎类,31.831,1
2021-12-08,水生根茎类,25.319,2
2021-12-09,水生根茎类,25.262,3
2021-12-10,水生根茎类,32.792,4
2021-12-11,水生根茎类,124.24,5
2021-12-12,水生根茎类,61.198,6
2021-12-13,水生根茎类,21.832,0
2021-12-14,水生根茎类,33.175,1
2021-12-15,水生根茎类,2.6020000000000003,2
2021-12-16,水生根茎类,39.569,3
2021-12-17,水生根茎类,40.153999999999996,4
2021-12-18,水生根茎类,70.551,5
2021-12-19,水生根茎类,67.19,6
2021-12-20,水生根茎类,38.283,0
2021-12-21,水生根茎类,48.369,1
2021-12-22,水生根茎类,31.469,2
2021-12-23,水生根茎类,30.021,3
2021-12-24,水生根茎类,35.441,4
2021-12-25,水生根茎类,66.839,5
2021-12-26,水生根茎类,95.584,6
2021-12-27,水生根茎类,42.155,0
2021-12-28,水生根茎类,35.054,1
2021-12-29,水生根茎类,34.882,2
2021-12-30,水生根茎类,37.37,3
2021-12-31,水生根茎类,60.713,4
2022-01-01,水生根茎类,82.658,5
2022-01-02,水生根茎类,27.438,6
2022-01-03,水生根茎类,59.009,0
2022-01-04,水生根茎类,46.598,1
2022-01-05,水生根茎类,34.15,2
2022-01-06,水生根茎类,34.198,3
2022-01-07,水生根茎类,46.045,4
2022-01-08,水生根茎类,60.006,5
2022-01-09,水生根茎类,59.741,6
2022-01-10,水生根茎类,56.153,0
2022-01-11,水生根茎类,29.824,1
2022-01-12,水生根茎类,41.626,2
2022-01-13,水生根茎类,22.185,3
2022-01-14,水生根茎类,48.285,4
2022-01-15,水生根茎类,56.825,5
2022-01-16,水生根茎类,52.794,6
2022-01-17,水生根茎类,42.312,0
2022-01-18,水生根茎类,32.418,1
2022-01-19,水生根茎类,50.389,2
2022-01-20,水生根茎类,55.56,3
2022-01-21,水生根茎类,58.294,4
2022-01-22,水生根茎类,64.682,5
2022-01-23,水生根茎类,68.285,6
2022-01-24,水生根茎类,38.076,0
2022-01-25,水生根茎类,70.849,1
2022-01-26,水生根茎类,64.858,2
2022-01-27,水生根茎类,95.025,3
2022-01-28,水生根茎类,197.934,4
2022-01-29,水生根茎类,200.905,5
2022-01-30,水生根茎类,234.678,6
2022-02-01,水生根茎类,38.25,1
2022-02-02,水生根茎类,37.868,2
2022-02-03,水生根茎类,7.01,3
2022-02-04,水生根茎类,55.923,4
2022-02-05,水生根茎类,2.2030000000000003,5
2022-02-06,水生根茎类,66.88,6
2022-02-07,水生根茎类,41.735,0
2022-02-08,水生根茎类,29.778,1
2022-02-09,水生根茎类,30.194,2
2022-02-10,水生根茎类,29.54,3
2022-02-11,水生根茎类,38.286,4
2022-02-12,水生根茎类,58.417,5
2022-02-13,水生根茎类,38.757,6
2022-02-14,水生根茎类,24.829,0
2022-02-15,水生根茎类,50.087,1
2022-02-16,水生根茎类,25.240000000000002,2
2022-02-17,水生根茎类,38.54,3
2022-02-18,水生根茎类,34.695,4
2022-02-19,水生根茎类,38.763,5
2022-02-20,水生根茎类,35.58,6
2022-02-21,水生根茎类,26.034,0
2022-02-22,水生根茎类,25.201,1
2022-02-23,水生根茎类,17.076,2
2022-02-24,水生根茎类,19.778,3
2022-02-25,水生根茎类,43.644,4
2022-02-26,水生根茎类,40.831,5
2022-02-27,水生根茎类,33.006,6
2022-02-28,水生根茎类,27.838,0
2022-03-01,水生根茎类,5.051,1
2022-03-02,水生根茎类,23.171,2
2022-03-03,水生根茎类,27.705000000000002,3
2022-03-04,水生根茎类,21.276,4
2022-03-05,水生根茎类,44.23,5
2022-03-06,水生根茎类,47.119,6
2022-03-07,水生根茎类,24.482,0
2022-03-08,水生根茎类,6.754,1
2022-03-09,水生根茎类,17.2,2
2022-03-10,水生根茎类,16.626,3
2022-03-11,水生根茎类,29.63,4
2022-03-12,水生根茎类,37.329,5
2022-03-13,水生根茎类,28.204,6
2022-03-14,水生根茎类,15.345,0
2022-03-15,水生根茎类,15.026,1
2022-03-16,水生根茎类,16.886,2
2022-03-17,水生根茎类,30.851,3
2022-03-18,水生根茎类,28.674,4
2022-03-19,水生根茎类,45.815,5
2022-03-20,水生根茎类,43.592,6
2022-03-21,水生根茎类,25.391,0
2022-03-22,水生根茎类,27.306,1
2022-03-23,水生根茎类,15.254999999999999,2
2022-03-24,水生根茎类,16.899,3
2022-03-25,水生根茎类,43.221000000000004,4
2022-03-26,水生根茎类,43.227,5
2022-03-27,水生根茎类,41.214,6
2022-03-28,水生根茎类,19.777,0
2022-03-29,水生根茎类,18.541,1
2022-03-30,水生根茎类,27.389,2
2022-03-31,水生根茎类,30.993,3
2022-04-01,水生根茎类,25.437,4
2022-04-02,水生根茎类,34.452,5
2022-04-03,水生根茎类,42.998,6
2022-04-04,水生根茎类,31.759,0
2022-04-05,水生根茎类,21.71,1
2022-04-06,水生根茎类,5.855,2
2022-04-07,水生根茎类,6.533,3
2022-04-08,水生根茎类,6.366,4
2022-04-09,水生根茎类,11.218,5
2022-04-10,水生根茎类,18.379,6
2022-04-11,水生根茎类,1.03,0
2022-04-12,水生根茎类,7.538,1
2022-04-13,水生根茎类,4.61,2
2022-04-14,水生根茎类,6.495,3
2022-04-15,水生根茎类,14.18,4
2022-04-16,水生根茎类,15.042,5
2022-04-17,水生根茎类,9.701,6
2022-04-18,水生根茎类,3.024,0
2022-04-19,水生根茎类,5.106,1
2022-04-20,水生根茎类,2.772,2
2022-04-21,水生根茎类,3.552,3
2022-04-22,水生根茎类,7.417,4
2022-04-23,水生根茎类,9.767,5
2022-04-24,水生根茎类,4.52,6
2022-04-25,水生根茎类,4.202,0
2022-04-26,水生根茎类,4.905,1
2022-04-27,水生根茎类,2.398,2
2022-04-28,水生根茎类,2.1390000000000002,3
2022-04-29,水生根茎类,7.1499999999999995,4
2022-04-30,水生根茎类,9.22,5
2022-05-01,水生根茎类,10.863,6
2022-05-02,水生根茎类,8.503,0
2022-05-03,水生根茎类,2.8680000000000003,1
2022-05-04,水生根茎类,6.398,2
2022-05-05,水生根茎类,1.193,3
2022-05-06,水生根茎类,3.42,4
2022-05-07,水生根茎类,4.66,5
2022-05-08,水生根茎类,4.476,6
2022-05-09,水生根茎类,3.5380000000000003,0
2022-05-10,水生根茎类,5.181,1
2022-05-11,水生根茎类,2.043,2
2022-05-12,水生根茎类,5.134,3
2022-05-13,水生根茎类,2.7920000000000003,4
2022-05-14,水生根茎类,11.341,5
2022-05-15,水生根茎类,6.072,6
2022-05-16,水生根茎类,4.6370000000000005,0
2022-05-17,水生根茎类,1.853,1
2022-05-18,水生根茎类,0.9259999999999999,2
2022-05-19,水生根茎类,3.425,3
2022-05-20,水生根茎类,3.575,4
2022-05-21,水生根茎类,4.691,5
2022-05-22,水生根茎类,4.885,6
2022-05-23,水生根茎类,4.437,0
