单品编码,单品名称,品类,n日,pearson_价_量
102900011031100,小米椒(份),辣椒类,350,-0.14154000463348568
102900011031216,冰草(盒),花叶类,23,0.1705304172794941
102900011031582,青尖椒(份),辣椒类,127,0.10166812701529483
102900011031926,虫草花(份),食用菌,227,0.19928111790504296
102900011031995,姬菇(份),食用菌,91,-0.06432702342571486
102900011032022,小皱皮(份),辣椒类,346,-0.30827928478764993
102900011032206,青杭椒(份),辣椒类,60,-0.08231923787826824
102900011032213,红杭椒(份),辣椒类,145,-0.17427602837575545
102900011032220,水果辣椒(份),辣椒类,18,-0.3913941534743831
102900011032237,青线椒(份),辣椒类,235,-0.06411276249871335
102900011032244,红尖椒(份),辣椒类,180,-0.08700010003265868
102900011032251,螺丝椒(份),辣椒类,327,-0.20682056291583292
102900011032343,七彩椒(2),辣椒类,235,-0.046994513497002906
102900011032350,灯笼椒(2),辣椒类,50,0.07910549524800546
102900011032367,红灯笼椒(2),辣椒类,130,-0.10291196477733183
102900011032480,白蒿,花叶类,14,-0.2648202259146182
102900011032619,西峡香菇(2),食用菌,64,0.014383807133823995
102900011032732,高瓜(2),水生根茎类,134,0.1379254004916276
102900011032787,竹叶菜(份),花叶类,37,-0.4014063046651189
102900011032848,姜蒜小米椒组合装(小份),辣椒类,331,0.15027566807287487
102900011033234,红薯尖(份),花叶类,37,-0.10164435173796696
102900011033906,保康高山大白菜,花叶类,192,-0.44414975371976545
102900011033920,黄心菜(2),花叶类,213,-0.06887856865124624
102900011033937,金针菇(2),食用菌,85,-0.3520065671978349
102900011033944,杏鲍菇(2),食用菌,285,-0.017378907906699236
102900011033975,青茄子(2),茄类,52,-0.4271858690415305
102900011033982,紫茄子(1),茄类,44,0.1756245666008587
102900011034026,枝江青梗散花,花菜类,335,-0.13174814397323464
102900011034200,苋菜(份),花叶类,42,0.04485271602082551
102900011034217,小白菜(份),花叶类,45,-0.24321933749793845
102900011034224,小青菜(份),花叶类,168,0.0362884648816776
102900011034231,奶白菜(份),花叶类,235,-0.2736402784588307
102900011034262,红椒(份),辣椒类,25,0.2070092151075358
102900011034330,双孢菇(盒),食用菌,258,0.03833593611228095
102900011034439,青红杭椒组合装(份),辣椒类,228,-0.04982041119236301
102900011034569,洪湖莲藕(脆藕),水生根茎类,12,-0.10502206673142059
102900011035078,红椒(2),辣椒类,288,-0.21931934735736802
102900011035481,外地茼蒿(份),花叶类,22,0.33956889119744343
102900011035511,净藕(3),水生根茎类,70,-0.01112957024784772
102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,137,0.12880059276418476
102900011035764,龙牙菜,花叶类,63,-0.07802356494452004
102900011035771,黄白菜(1),花叶类,70,-0.20742173199191913
102900011035788,西峡香菇(份) ,食用菌,65,0.265069427404368
102900011036242,青红尖椒组合装(份),辣椒类,24,-0.13929560459004237
102900011036686,木耳菜(份),花叶类,25,-0.15461890684985424
102900051000463,圆茄子(2),茄类,94,-0.3492990131788757
102900051000944,洪湖藕带,水生根茎类,107,-0.23414057959529055
102900051004294,青线椒,辣椒类,33,-0.010549954771758371
102900051010455,黄白菜(2),花叶类,191,-0.33753612231567726
106930274620090,海鲜菇(袋)(2),食用菌,51,0.07502760709809403
106949711300259,金针菇(盒),食用菌,344,0.15047542304770511
106971533450003,海鲜菇(包),食用菌,70,0.05967964473804404
106971533455008,海鲜菇(袋)(3),食用菌,79,-0.23685775707849746
106972776821582,鲜粽叶(袋)(3),花叶类,31,0.05136225652508744
106973990980123,和丰阳光海鲜菇(包),食用菌,19,0.04209253040304138
