年月,品类,n_否,pearson_否,n_是,pearson_是,n_不分打折,pearson_不分打折
2021-09,茄类,1241,0.036254,283,,1524,-0.040569
2021-09,辣椒类,4964,-0.41545,287,-0.103683,5251,-0.417833
2021-09,食用菌,2838,-0.719839,838,0.067225,3676,-0.740193
2021-10,花叶类,8381,-0.059776,671,-0.599197,9052,-0.125787
2021-10,花菜类,1674,-0.08265,192,-0.211395,1866,-0.097537
2021-10,水生根茎类,1025,-0.176336,1171,,2196,-0.141117
2021-10,茄类,1006,-0.047422,0,,1006,-0.047422
2021-10,辣椒类,4942,-0.407065,0,,4942,-0.407065
2021-10,食用菌,2780,-0.711422,684,0.0,3464,-0.721471
2021-11,花叶类,4382,-0.146424,271,-0.185628,4653,-0.150354
2021-11,花菜类,1043,-0.072288,266,,1309,-0.08366
2021-11,水生根茎类,721,-0.087851,1074,,1795,-0.055075
2021-11,茄类,545,-0.166917,0,,545,-0.166917
2021-11,辣椒类,2644,-0.433907,152,,2796,-0.433675
2021-11,食用菌,3239,-0.822088,408,-0.777152,3647,-0.822064
2021-12,花叶类,6067,-0.274722,120,-0.896652,6187,-0.307054
2021-12,花菜类,1549,-0.144105,0,,1549,-0.144105
2021-12,水生根茎类,1771,0.053375,107,0.239777,1878,0.092875
2021-12,茄类,453,-0.122474,102,,555,-0.103832
2021-12,辣椒类,3498,-0.428349,50,-0.135432,3548,-0.424862
2021-12,食用菌,3796,-0.779848,402,-0.83273,4198,-0.788116
2022-01,花叶类,6404,-0.383055,261,-0.520552,6665,-0.420808
2022-01,花菜类,2452,0.144231,0,,2452,0.144231
2022-01,水生根茎类,2343,0.243951,39,-0.0,2382,0.245823
2022-01,茄类,1249,0.23741,0,,1249,0.23741
2022-01,辣椒类,6921,-0.399587,13,,6934,-0.401724
2022-01,食用菌,4267,-0.72497,80,,4347,-0.736025
2022-02,花叶类,5778,-0.409285,169,,5947,-0.434223
2022-02,花菜类,1863,-0.041276,0,,1863,-0.041276
2022-02,水生根茎类,1279,0.112913,0,,1279,0.112913
2022-02,茄类,1329,0.039875,0,,1329,0.039875
2022-02,辣椒类,4670,-0.507397,136,,4806,-0.529396
2022-02,食用菌,2121,-0.939352,73,-0.952735,2194,-0.939727
2022-03,花叶类,6050,-0.425225,405,-0.981389,6455,-0.476918
2022-03,花菜类,705,0.032532,329,,1034,0.043329
2022-03,水生根茎类,1175,-0.156041,14,0.593698,1189,-0.173767
2022-03,茄类,1192,-0.125114,0,,1192,-0.125114
2022-03,辣椒类,4618,-0.517545,300,-0.039379,4918,-0.56591
2022-03,食用菌,1630,-0.944513,68,-0.914741,1698,-0.928515
2022-04,花叶类,6141,-0.342304,273,-0.046365,6414,-0.346424
2022-04,花菜类,800,-0.084652,103,,903,-0.152139
2022-04,水生根茎类,501,-0.350321,19,0.148694,520,-0.353527
2022-04,茄类,1359,-0.21411,0,,1359,-0.21411
2022-04,辣椒类,4056,-0.417866,267,-0.326711,4323,-0.463367
2022-04,食用菌,1753,-0.902838,165,-0.756602,1918,-0.853016
2022-05,花叶类,7138,-0.116451,380,-0.191751,7518,-0.106388
2022-05,花菜类,1455,-0.258128,155,,1610,-0.245318
2022-05,水生根茎类,324,-0.309417,0,,324,-0.309417
2022-05,茄类,1583,-0.286213,364,,1947,-0.24483
2022-05,辣椒类,4282,-0.279678,0,,4282,-0.279678
2022-05,食用菌,1534,-0.959338,19,,1553,-0.960157
2022-06,花叶类,8346,-0.009627,19,0.541963,8365,-0.009888
2022-06,花菜类,1642,-0.108202,16,0.0,1658,-0.195009
2022-06,水生根茎类,858,-0.260967,0,,858,-0.260967
2022-06,茄类,1874,-0.341392,0,,1874,-0.341392
2022-06,辣椒类,3653,-0.282727,3,,3656,-0.284196
2022-06,食用菌,1670,-0.955926,187,-0.971323,1857,-0.954636
2022-07,花叶类,10042,-0.269508,170,-0.329802,10212,-0.296076
2022-07,花菜类,3160,-0.08653,51,-0.385516,3211,-0.138846
2022-07,水生根茎类,2195,-0.429127,275,-0.494817,2470,-0.410702
2022-07,茄类,1092,-0.119921,0,,1092,-0.119921
2022-07,辣椒类,4998,-0.603484,215,-0.957569,5213,-0.633428
2022-07,食用菌,2277,-0.919717,754,-0.842837,3031,-0.891784
2022-08,花叶类,9736,-0.523228,1538,-0.515728,11274,-0.522535
2022-08,花菜类,4909,0.014726,173,-0.027911,5082,-0.003338
2022-08,水生根茎类,2940,-0.401534,118,-0.651975,3058,-0.40151
2022-08,茄类,1394,0.185578,25,0.689368,1419,0.18836
2022-08,辣椒类,6484,-0.320178,716,-0.567111,7200,-0.35961
2022-08,食用菌,2950,-0.859964,739,-0.82318,3689,-0.797494
2022-09,花叶类,7768,-0.4325,2030,-0.556776,9798,-0.475441
2022-09,花菜类,2997,-0.023144,277,0.087041,3274,-0.033932
2022-09,水生根茎类,1890,-0.375404,355,-0.889452,2245,-0.40567
2022-09,茄类,256,0.321118,7,,263,0.242569
2022-09,辣椒类,4171,-0.822947,432,-0.945991,4603,-0.833265
2022-09,食用菌,3045,-0.88253,812,-0.835054,3857,-0.832144
2022-10,花叶类,9191,-0.41447,1364,-0.551834,10555,-0.440517
2022-10,花菜类,2983,0.0716,286,-0.033133,3269,-0.008805
2022-10,水生根茎类,2523,-0.267529,328,-0.842476,2851,-0.295171
2022-10,茄类,284,0.02175,0,,284,0.02175
2022-10,辣椒类,5929,-0.695165,607,-0.96641,6536,-0.723978
2022-10,食用菌,5500,-0.712506,736,-0.956714,6236,-0.702728
2022-11,花叶类,7465,-0.43618,607,-0.303316,8072,-0.44261
2022-11,花菜类,2747,0.170254,73,0.221791,2820,0.188305
2022-11,水生根茎类,1571,-0.267714,49,-0.97356,1620,-0.293128
2022-11,茄类,434,-0.022336,1,,435,-0.016805
2022-11,辣椒类,4764,-0.355867,298,-0.947065,5062,-0.388063
2022-11,食用菌,4262,-0.919227,324,-0.912366,4586,-0.903235
2022-12,花叶类,7489,-0.470232,312,-0.75231,7801,-0.475184
2022-12,花菜类,2409,0.278759,86,0.250342,2495,0.291219
2022-12,水生根茎类,1916,0.003223,46,0.111517,1962,0.003913
2022-12,茄类,433,-0.030285,0,,433,-0.030285
2022-12,辣椒类,4491,-0.308866,132,-0.969371,4623,-0.324762
2022-12,食用菌,4274,-0.924538,176,-0.894145,4450,-0.913263
2023-01,花叶类,9064,-0.576827,488,-0.469086,9552,-0.584623
2023-01,花菜类,2783,0.147933,59,0.122419,2842,0.169231
2023-01,水生根茎类,2453,0.10334,103,-0.164957,2556,0.102482
2023-01,茄类,1226,0.057445,5,,1231,0.062538
2023-01,辣椒类,8501,-0.720396,193,-0.940723,8694,-0.729713
2023-01,食用菌,5974,-0.893955,397,-0.876036,6371,-0.881148
2023-02,花叶类,6234,-0.591152,510,-0.74376,6744,-0.604567
2023-02,花菜类,2062,0.010614,173,-0.204265,2235,0.025576
2023-02,水生根茎类,1385,0.120417,127,-0.305619,1512,0.108232
2023-02,茄类,831,-0.079727,0,,831,-0.079727
2023-02,辣椒类,5128,-0.884412,323,-0.9217,5451,-0.880591
2023-02,食用菌,3396,-0.946467,489,-0.925817,3885,-0.912803
2023-03,花叶类,5949,-0.475757,1055,-0.771554,7004,-0.507688
2023-03,花菜类,1784,-0.059673,251,0.146487,2035,-0.073851
2023-03,水生根茎类,1150,-0.311582,51,-0.663322,1201,-0.320629
2023-03,茄类,961,-0.032038,0,,961,-0.032038
2023-03,辣椒类,5263,-0.712541,569,-0.803889,5832,-0.727728
2023-03,食用菌,3781,-0.906028,521,-0.804121,4302,-0.888873
2023-04,花叶类,6204,-0.434338,821,-0.692671,7025,-0.458085
2023-04,花菜类,1462,-0.05729,100,0.098566,1562,-0.036394
2023-04,水生根茎类,885,-0.366513,39,-0.419631,924,-0.364213
2023-04,茄类,1205,-0.05271,1,,1206,-0.05598
2023-04,辣椒类,4237,-0.480492,511,-0.790916,4748,-0.515589
2023-04,食用菌,3009,-0.931214,645,-0.772739,3654,-0.913769
2023-05,花叶类,7359,-0.351943,454,-0.733607,7813,-0.377765
2023-05,花菜类,1712,-0.252785,47,0.021286,1759,-0.254097
2023-05,水生根茎类,870,-0.30594,4,,874,-0.307118
2023-05,茄类,1529,-0.093551,0,,1529,-0.093551
2023-05,辣椒类,4615,-0.393062,263,-0.588887,4878,-0.409902
2023-05,食用菌,2520,-0.930936,394,-0.591061,2914,-0.906595
2023-06,花叶类,6501,-0.17947,621,-0.488116,7122,-0.226074
2023-06,花菜类,1194,-0.03675,17,-0.017564,1211,-0.037622
2023-06,水生根茎类,973,-0.128489,235,-0.110069,1208,-0.084259
2023-06,茄类,1562,-0.301638,0,,1562,-0.301638
2023-06,辣椒类,4161,-0.435439,220,-0.89656,4381,-0.46331
2023-06,食用菌,1960,-0.979991,380,-0.033413,2340,-0.978782
