年月,品类,月净销量合计_kg,日历天数,有销售天数,日均_按日历天数_kg,日均_按有销售天数_kg,日销量均值_日历补0_kg,日销量中位数_日历补0_kg,日销量P25_日历补0_kg,日销量P75_日历补0_kg,日销量标准差_日历补0_kg
2020-12,辣椒类,1427.439,31,31,46.046419,46.046419,46.046419,45.584,38.253,51.5325,11.098326
2020-12,食用菌,3475.546,31,31,112.114387,112.114387,112.114387,94.652,81.6265,138.815,42.780333
2021-01,花叶类,6412.193,31,31,206.844935,206.844935,206.844935,214.815,172.775,226.9355,41.506667
2021-01,花菜类,1262.447,31,31,40.724097,40.724097,40.724097,37.907,32.2345,49.5695,11.54303
2021-01,水生根茎类,1922.91,31,31,62.029355,62.029355,62.029355,54.723,48.092,78.034,18.372542
2021-01,茄类,501.591,31,30,16.180355,16.7197,16.180355,16.078,12.4465,20.075,5.773831
2021-01,辣椒类,1919.11,31,31,61.906774,61.906774,61.906774,58.505,47.467,74.1655,19.146986
2021-01,食用菌,3043.698,31,31,98.183806,98.183806,98.183806,94.904,80.0215,112.026,23.721986
2021-02,花叶类,5741.09,28,26,205.038929,220.811154,205.038929,195.016,178.8545,236.675,91.339182
2021-02,花菜类,1500.92,28,26,53.604286,57.727692,53.604286,41.2255,32.895,70.00325,38.24246
2021-02,水生根茎类,1961.572,28,26,70.056143,75.445077,70.056143,55.931,46.905,69.4225,58.49621
2021-02,茄类,877.194,28,26,31.328357,33.738231,31.328357,26.8055,20.891,34.00675,24.044088
2021-02,辣椒类,3824.593,28,26,136.592607,147.099731,136.592607,115.3735,84.1745,139.745,108.301672
2021-02,食用菌,3691.863,28,26,131.85225,141.994731,131.85225,110.813,85.88675,150.63275,99.578637
2021-03,花叶类,5060.645,31,31,163.246613,163.246613,163.246613,158.357,123.8285,192.86,52.753084
2021-03,花菜类,1166.262,31,31,37.621355,37.621355,37.621355,31.282,28.591,44.3335,14.54101
2021-03,水生根茎类,904.5,31,31,29.177419,29.177419,29.177419,28.177,19.6375,39.638,12.394324
2021-03,茄类,615.974,31,31,19.870129,19.870129,19.870129,19.628,16.187,22.3175,5.541257
2021-03,辣椒类,2574.561,31,31,83.050355,83.050355,83.050355,78.794,64.5245,99.283,26.190381
2021-03,食用菌,2246.831,31,31,72.478419,72.478419,72.478419,71.027,47.7505,83.0735,29.117365
2021-04,花叶类,4915.061,30,30,163.835367,163.835367,163.835367,151.544,135.63675,193.8435,39.992858
2021-04,花菜类,1380.398,30,30,46.013267,46.013267,46.013267,39.6705,29.58375,51.53,22.514773
2021-04,水生根茎类,524.278,30,30,17.475933,17.475933,17.475933,15.977,10.67325,22.22675,9.806341
2021-04,茄类,619.437,30,30,20.6479,20.6479,20.6479,20.363,15.832,26.34775,7.460408
2021-04,辣椒类,1957.177,30,30,65.239233,65.239233,65.239233,56.779,50.883,71.96125,22.024441
2021-04,食用菌,1379.944,30,30,45.998133,45.998133,45.998133,40.7685,35.6915,55.52775,15.988118
2021-05,花叶类,5465.001,31,31,176.290355,176.290355,176.290355,176.658,150.3455,197.39,33.15192
2021-05,花菜类,1108.386,31,31,35.754387,35.754387,35.754387,34.962,27.945,40.9605,11.109878
2021-05,水生根茎类,308.686,31,31,9.957613,9.957613,9.957613,8.963,6.0365,12.354,4.92154
2021-05,茄类,723.611,31,31,23.34229,23.34229,23.34229,22.177,18.65,25.604,6.522551
2021-05,辣椒类,2295.673,31,31,74.053968,74.053968,74.053968,72.08,56.1455,84.1415,27.473393
2021-05,食用菌,1164.387,31,31,37.560871,37.560871,37.560871,33.543,29.582,45.029,10.845468
2021-06,花叶类,4632.309,30,30,154.4103,154.4103,154.4103,145.532,125.87425,192.89675,36.785941
2021-06,花菜类,1224.572,30,30,40.819067,40.819067,40.819067,41.015,28.143,51.46575,15.628206
2021-06,水生根茎类,328.498,30,30,10.949933,10.949933,10.949933,9.9655,7.91225,11.328,4.449163
2021-06,茄类,821.137,30,30,27.371233,27.371233,27.371233,27.1385,19.739,30.605,10.492912
2021-06,辣椒类,1934.17,30,30,64.472333,64.472333,64.472333,61.945,48.08875,78.74975,17.64384
2021-06,食用菌,1121.852,30,30,37.395067,37.395067,37.395067,32.769,29.50125,43.226,11.883848
2021-07,花叶类,5568.509,31,31,179.629323,179.629323,179.629323,174.827,150.204,206.363,36.752778
2021-07,花菜类,1446.983,31,31,46.676871,46.676871,46.676871,46.461,34.579,55.9905,14.960624
2021-07,水生根茎类,543.799,31,31,17.541903,17.541903,17.541903,15.754,11.4995,23.885,8.5629
2021-07,茄类,967.582,31,31,31.212323,31.212323,31.212323,28.565,21.7405,38.135,12.05037
2021-07,辣椒类,1603.458,31,31,51.724452,51.724452,51.724452,51.785,43.7335,57.7655,12.506384
2021-07,食用菌,1103.387,31,31,35.593129,35.593129,35.593129,35.038,28.9365,40.853,9.296454
2021-08,花叶类,7113.029,31,31,229.452548,229.452548,229.452548,234.344,187.673,265.3,45.179656
2021-08,花菜类,722.804,31,31,23.316258,23.316258,23.316258,16.528,8.374,37.959,19.354943
2021-08,水生根茎类,1115.909,31,31,35.997065,35.997065,35.997065,31.616,25.822,49.5225,13.303211
2021-08,茄类,968.499,31,31,31.241903,31.241903,31.241903,31.245,25.3935,34.966,7.447207
2021-08,辣椒类,2041.186,31,31,65.84471,65.84471,65.84471,65.069,54.4885,77.2105,16.469224
2021-08,食用菌,1579.64,31,31,50.956129,50.956129,50.956129,50.028,42.321,58.117,10.521769
2021-09,花叶类,4861.97,30,30,162.065667,162.065667,162.065667,151.511,122.82875,190.3455,50.871321
2021-09,花菜类,775.435,30,30,25.847833,25.847833,25.847833,23.9935,12.67725,34.691,16.835731
2021-09,水生根茎类,1402.392,30,30,46.7464,46.7464,46.7464,40.497,33.80825,53.183,19.37178
2021-09,茄类,740.56,30,30,24.685333,24.685333,24.685333,24.461,19.30525,28.7935,8.310257
2021-09,辣椒类,1493.525,30,30,49.784167,49.784167,49.784167,44.7025,37.13075,51.91025,18.462795
2021-09,食用菌,1373.037,30,30,45.7679,45.7679,45.7679,39.639,34.0345,54.52,22.863959
2021-10,花叶类,4061.861,31,31,131.027774,131.027774,131.027774,101.014,86.5105,169.7535,60.743701
2021-10,花菜类,738.463,31,31,23.821387,23.821387,23.821387,19.823,15.0785,32.352,13.430998
2021-10,水生根茎类,1484.274,31,31,47.879806,47.879806,47.879806,46.91,39.773,55.391,10.044993
2021-10,茄类,470.765,31,31,15.185968,15.185968,15.185968,11.389,9.162,20.4875,8.726808
2021-10,辣椒类,1604.602,31,31,51.761355,51.761355,51.761355,44.341,35.4505,65.28,21.362484
2021-10,食用菌,1507.855,31,31,48.640484,48.640484,48.640484,43.27,36.7285,55.6775,17.784542
2021-11,花叶类,1891.076,30,30,63.035867,63.035867,63.035867,54.5685,45.10175,69.85325,24.35726
2021-11,花菜类,599.033,30,30,19.967767,19.967767,19.967767,19.894,12.5885,26.60375,8.515298
2021-11,水生根茎类,1273.503,30,30,42.4501,42.4501,42.4501,41.8,31.73975,52.42475,12.575928
2021-11,茄类,250.963,30,30,8.365433,8.365433,8.365433,8.127,5.331,10.3715,3.829362
2021-11,辣椒类,803.319,30,30,26.7773,26.7773,26.7773,25.1655,22.2,30.08925,7.290728
2021-11,食用菌,1639.757,30,30,54.658567,54.658567,54.658567,47.676,35.176,60.481,32.600678
2021-12,花叶类,2958.955,31,31,95.450161,95.450161,95.450161,84.271,69.3365,112.2865,36.113619
2021-12,花菜类,762.501,31,31,24.596806,24.596806,24.596806,22.865,16.1475,28.2115,12.20237
2021-12,水生根茎类,1332.336,31,31,42.978581,42.978581,42.978581,35.441,30.018,55.8535,24.459651
2021-12,茄类,238.36,31,31,7.689032,7.689032,7.689032,7.254,5.411,9.812,2.957304
2021-12,辣椒类,1186.443,31,31,38.272355,38.272355,38.272355,35.101,29.4405,43.5095,12.92537
2021-12,食用菌,2068.748,31,31,66.733806,66.733806,66.733806,55.263,44.1195,92.5085,31.635097
2022-01,花叶类,3880.812,31,30,125.187484,129.3604,125.187484,129.677,86.001,161.3505,52.715727
2022-01,花菜类,1358.424,31,30,43.820129,45.2808,43.820129,37.538,29.2195,56.2365,26.867463
2022-01,水生根茎类,2031.8,31,30,65.541935,67.726667,65.541935,55.56,39.851,64.77,52.071574
2022-01,茄类,637.055,31,30,20.550161,21.235167,20.550161,13.349,9.4865,23.355,20.500189
2022-01,辣椒类,3097.329,31,30,99.913839,103.2443,99.913839,80.046,58.02,94.803,84.02419
2022-01,食用菌,2248.435,31,30,72.530161,74.947833,72.530161,66.621,47.7675,85.949,38.926004
2022-02,花叶类,3474.049,28,28,124.073179,124.073179,124.073179,116.3345,93.05825,154.4565,44.004347
2022-02,花菜类,903.602,28,28,32.2715,32.2715,32.2715,29.8955,24.83675,38.09375,10.006239
2022-02,水生根茎类,955.983,28,28,34.14225,34.14225,34.14225,35.1375,25.8355,39.28,14.085727
2022-02,茄类,606.559,28,28,21.662821,21.662821,21.662821,18.3575,14.83425,23.23925,11.303472
2022-02,辣椒类,2250.052,28,28,80.359,80.359,80.359,79.7765,62.60975,89.663,27.069224
2022-02,食用菌,1291.039,28,28,46.108536,46.108536,46.108536,44.594,28.89075,54.5475,24.813236
2022-03,花叶类,3359.617,31,31,108.374742,108.374742,108.374742,101.51,80.398,131.1295,36.355843
2022-03,花菜类,511.929,31,30,16.513839,17.0643,16.513839,16.239,11.7785,22.412,8.601619
2022-03,水生根茎类,834.179,31,31,26.909,26.909,26.909,27.306,17.0495,34.161,11.698177
2022-03,茄类,500.686,31,31,16.151161,16.151161,16.151161,15.834,12.621,19.3155,5.392604
2022-03,辣椒类,2378.321,31,31,76.720032,76.720032,76.720032,72.957,63.098,88.477,18.483156
2022-03,食用菌,784.754,31,31,25.314645,25.314645,25.314645,23.441,17.668,29.43,10.137913
2022-04,花叶类,3491.077,30,30,116.369233,116.369233,116.369233,112.1365,102.362,129.843,21.779668
2022-04,花菜类,436.828,30,30,14.560933,14.560933,14.560933,12.3765,9.84,19.4175,6.375484
2022-04,水生根茎类,329.475,30,30,10.9825,10.9825,10.9825,6.8415,4.5425,13.4395,10.476106
2022-04,茄类,617.922,30,30,20.5974,20.5974,20.5974,20.5315,15.69125,24.3355,6.485558
2022-04,辣椒类,2193.028,30,30,73.100933,73.100933,73.100933,70.591,60.20525,85.4035,23.529748
2022-04,食用菌,822.434,30,30,27.414467,27.414467,27.414467,27.7915,20.76625,32.6815,8.640521
2022-05,花叶类,3412.47,31,31,110.079677,110.079677,110.079677,92.724,88.277,119.461,32.44247
2022-05,花菜类,770.68,31,31,24.860645,24.860645,24.860645,23.375,19.0255,27.0475,9.02224
2022-05,水生根茎类,157.828,31,31,5.091226,5.091226,5.091226,4.637,3.4225,6.5045,2.605603
2022-05,茄类,993.728,31,31,32.055742,32.055742,32.055742,29.841,22.619,42.902,11.679528
2022-05,辣椒类,1537.388,31,31,49.593161,49.593161,49.593161,42.635,37.523,58.84,16.222952
2022-05,食用菌,762.225,31,31,24.587903,24.587903,24.587903,21.185,17.6835,34.0135,10.65059
2022-06,花叶类,4001.051,30,30,133.368367,133.368367,133.368367,114.4775,106.56975,156.014,42.086406
2022-06,花菜类,737.248,30,30,24.574933,24.574933,24.574933,22.8665,20.681,28.942,7.794257
2022-06,水生根茎类,358.965,30,30,11.9655,11.9655,11.9655,9.778,5.56725,14.51175,8.419632
2022-06,茄类,977.343,30,30,32.5781,32.5781,32.5781,33.541,24.0985,38.41,10.558484
2022-06,辣椒类,1291.126,30,30,43.037533,43.037533,43.037533,40.2295,32.7975,46.84125,14.862348
2022-06,食用菌,1069.716,30,30,35.6572,35.6572,35.6572,35.3085,28.06025,39.876,10.052336
2022-07,花叶类,5226.721,31,31,168.603903,168.603903,168.603903,150.034,132.009,181.4205,59.288529
2022-07,花菜类,1499.358,31,31,48.366387,48.366387,48.366387,46.435,36.09,60.237,14.489087
2022-07,水生根茎类,1864.482,31,31,60.144581,60.144581,60.144581,57.442,35.1055,73.6065,32.143129
2022-07,茄类,567.788,31,31,18.315742,18.315742,18.315742,17.802,14.388,20.555,6.774246
2022-07,辣椒类,2335.322,31,31,75.332968,75.332968,75.332968,60.497,50.813,95.0045,32.760153
2022-07,食用菌,1792.005,31,31,57.806613,57.806613,57.806613,55.108,44.5305,66.9775,19.154976
2022-08,花叶类,10131.385,31,31,326.818871,326.818871,326.818871,322.432,279.506,358.284,64.367884
2022-08,花菜类,2454.973,31,31,79.192677,79.192677,79.192677,75.303,64.465,87.327,29.945371
2022-08,水生根茎类,2524.01,31,31,81.419677,81.419677,81.419677,86.531,61.973,96.371,27.465726
2022-08,茄类,628.297,31,31,20.267645,20.267645,20.267645,17.255,13.8365,22.44,14.411464
2022-08,辣椒类,5023.004,31,31,162.032387,162.032387,162.032387,159.507,121.6415,185.986,55.180292
2022-08,食用菌,2080.588,31,31,67.115742,67.115742,67.115742,70.643,58.166,76.716,18.429162
2022-09,花叶类,8193.393,30,30,273.1131,273.1131,273.1131,255.4135,204.3035,326.323,86.403886
2022-09,花菜类,1476.89,30,30,49.229667,49.229667,49.229667,47.3145,39.356,61.337,14.22417
2022-09,水生根茎类,1568.368,30,30,52.278933,52.278933,52.278933,47.9745,28.33775,59.811,34.263962
2022-09,茄类,105.318,30,11,3.5106,9.574364,3.5106,0.0,0.0,6.41625,5.601153
2022-09,辣椒类,3267.866,30,30,108.928867,108.928867,108.928867,97.3455,74.84075,142.317,43.343606
2022-09,食用菌,2041.807,30,30,68.060233,68.060233,68.060233,59.769,48.32475,87.626,24.248087
2022-10,花叶类,8755.013,31,31,282.419774,282.419774,282.419774,252.753,226.22,347.646,101.484633
2022-10,花菜类,1521.896,31,31,49.093419,49.093419,49.093419,47.046,34.162,61.417,19.316322
2022-10,水生根茎类,2106.2,31,31,67.941935,67.941935,67.941935,63.12,38.9105,95.079,30.580243
2022-10,茄类,157.899,31,17,5.093516,9.288176,5.093516,2.55,0.0,7.5695,7.81607
2022-10,辣椒类,4419.993,31,31,142.580419,142.580419,142.580419,125.16,113.1455,167.9295,61.47407
2022-10,食用菌,4030.387,31,31,130.012484,130.012484,130.012484,108.094,88.742,156.979,56.576555
2022-11,花叶类,6522.257,30,27,217.408567,241.565074,217.408567,169.5175,96.47475,243.92275,252.891372
2022-11,花菜类,1339.073,30,27,44.635767,49.595296,44.635767,39.6795,31.30825,55.001,32.701667
2022-11,水生根茎类,1352.753,30,27,45.091767,50.101963,45.091767,30.7975,17.0905,58.57975,54.550001
2022-11,茄类,252.964,30,27,8.432133,9.369037,8.432133,5.2105,2.96725,8.402,11.384482
2022-11,辣椒类,3518.907,30,27,117.2969,130.329889,117.2969,103.83,78.39625,133.991,96.493763
2022-11,食用菌,3236.025,30,27,107.8675,119.852778,107.8675,88.09,38.18225,155.89275,102.258567
2022-12,花叶类,6657.329,31,28,214.752548,237.76175,214.752548,231.009,179.863,268.9385,90.087877
2022-12,花菜类,1147.225,31,28,37.007258,40.972321,37.007258,38.551,27.994,45.929,17.53915
2022-12,水生根茎类,1670.01,31,28,53.87129,59.643214,53.87129,60.286,43.4145,65.702,26.369326
2022-12,茄类,213.106,31,27,6.874387,7.892815,6.874387,6.572,4.039,8.902,4.554215
2022-12,辣椒类,3367.514,31,28,108.629484,120.268357,108.629484,114.691,94.887,134.6355,47.239456
2022-12,食用菌,3186.522,31,28,102.791032,113.804357,102.791032,103.847,88.732,131.6215,44.895688
2023-01,花叶类,7561.463,31,30,243.918161,252.048767,243.918161,216.18,201.4525,280.4305,98.681297
2023-01,花菜类,1482.443,31,30,47.820742,49.414767,47.820742,39.38,30.181,59.2745,29.662426
2023-01,水生根茎类,2135.529,31,30,68.888032,71.1843,68.888032,54.334,45.3665,85.5765,44.984153
2023-01,茄类,660.05,31,30,21.291935,22.001667,21.291935,15.298,9.8475,31.0465,16.782927
2023-01,辣椒类,5182.983,31,30,167.193,172.7661,167.193,137.769,118.3695,188.036,103.793499
2023-01,食用菌,4532.329,31,30,146.204161,151.077633,146.204161,122.262,100.19,166.0385,87.947214
2023-02,花叶类,5347.792,28,28,190.992571,190.992571,190.992571,177.7545,154.524,227.24275,51.484631
2023-02,花菜类,1032.512,28,28,36.875429,36.875429,36.875429,34.4025,31.30875,42.55875,8.863582
2023-02,水生根茎类,1143.18,28,28,40.827857,40.827857,40.827857,35.0155,27.7665,48.51525,20.149577
2023-02,茄类,366.492,28,28,13.089,13.089,13.089,12.641,9.70475,14.90975,4.809542
2023-02,辣椒类,3608.985,28,28,128.892321,128.892321,128.892321,129.8255,100.9,152.005,38.079877
2023-02,食用菌,2607.748,28,28,93.133857,93.133857,93.133857,90.4955,74.64425,110.0785,24.550949
2023-03,花叶类,5476.18,31,31,176.650968,176.650968,176.650968,171.809,137.1095,199.3455,47.298708
2023-03,花菜类,899.382,31,31,29.012323,29.012323,29.012323,28.182,21.3195,34.7595,12.477519
2023-03,水生根茎类,776.093,31,31,25.035258,25.035258,25.035258,22.284,17.8075,30.7165,10.520433
2023-03,茄类,440.094,31,31,14.196581,14.196581,14.196581,12.216,9.8105,17.423,5.582272
2023-03,辣椒类,3953.09,31,31,127.519032,127.519032,127.519032,114.7,104.5795,151.761,30.980454
2023-03,食用菌,2696.437,31,31,86.981839,86.981839,86.981839,81.886,71.109,105.418,25.889021
2023-04,花叶类,5140.509,30,30,171.3503,171.3503,171.3503,166.7295,133.28675,195.2675,49.928537
2023-04,花菜类,715.518,30,30,23.8506,23.8506,23.8506,21.044,17.93775,27.22525,8.322663
2023-04,水生根茎类,539.653,30,30,17.988433,17.988433,17.988433,16.5435,12.18225,25.92675,7.644728
2023-04,茄类,591.339,30,30,19.7113,19.7113,19.7113,19.113,13.51075,22.07475,8.742289
2023-04,辣椒类,3240.117,30,30,108.0039,108.0039,108.0039,103.559,76.7135,137.45575,36.394817
2023-04,食用菌,2481.835,30,30,82.727833,82.727833,82.727833,82.4005,62.50575,96.30525,27.390934
2023-05,花叶类,5225.556,31,31,168.566323,168.566323,168.566323,156.287,142.5235,187.413,42.023289
2023-05,花菜类,825.848,31,31,26.640258,26.640258,26.640258,25.81,20.0335,30.88,9.807437
2023-05,水生根茎类,420.267,31,31,13.557,13.557,13.557,12.75,9.466,17.064,5.155287
2023-05,茄类,760.167,31,31,24.521516,24.521516,24.521516,23.097,17.842,30.199,7.995853
2023-05,辣椒类,2783.96,31,31,89.805161,89.805161,89.805161,85.984,70.537,101.4665,24.720824
2023-05,食用菌,2128.108,31,31,68.648645,68.648645,68.648645,61.585,52.213,83.2355,20.702628
2023-06,花叶类,4660.197,30,30,155.3399,155.3399,155.3399,138.503,127.30825,172.06225,44.065414
2023-06,花菜类,533.189,30,30,17.772967,17.772967,17.772967,16.4345,11.967,22.9965,6.762822
2023-06,水生根茎类,510.787,30,30,17.026233,17.026233,17.026233,15.935,12.0045,20.64,6.759026
2023-06,茄类,769.315,30,30,25.643833,25.643833,25.643833,23.201,19.308,28.367,10.404078
2023-06,辣椒类,2714.933,30,30,90.497767,90.497767,90.497767,82.2065,70.28975,93.4815,27.98413
2023-06,食用菌,1718.985,30,30,57.2995,57.2995,57.2995,53.961,43.41425,67.12975,19.352951
